State,Population,Rank
"California",39100000,1
"Texas",27500000,2
"Florida",20300000,3
"New York",19800000,4
"Illinois",12900000,5
"Pennsylvania",12800000,6
"Ohio",11600000,7
"Georgia",10200000,8
"North Carolina",10000000,9
"Michigan",9900000,10
"New Jersey",9000000,11
"Virginia",8400000,12
"Washington",7200000,13
"Arizona",6800000,14
"Massachusetts",6800000,15
"Indiana",6600000,16
"Tennessee",6600000,17
"Missouri",6100000,18
"Maryland",6000000,19
"Wisconsin",5800000,20
"Minnesota",5500000,21
"Colorado",5500000,22
"South Carolina",4900000,23
"Alabama",4900000,24
"Louisiana",4700000,25
"Kentucky",4400000,26
"Oregon",4000000,27
"Oklahoma",3900000,28
"Connecticut",3600000,29
"Iowa",3100000,30
"Utah",3000000,31
"Mississippi",3000000,32
"Arkansas",3000000,33
"Kansas",2900000,34
"Nevada",2900000,35
"New Mexico",2100000,36
"Nebraska",1900000,37
"West Virginia",1800000,38
"Idaho",1700000,39
"Hawaii",1400000,40
"New Hampshire",1300000,41
"Maine",1300000,42
"Rhode Island",1100000,43
"Montana",1000000,44
"Delaware",900000,45
"South Dakota",900000,46
"North Dakota",800000,47
"Alaska",700000,48
"Vermont",600000,49
"Wyoming",600000,50
